S.No,Candidate Name,Account ID,Phone Number,Area,Company Name,No. of Cylinders registered per user,Gross Weight,Cost,Purchased Date,Amount of gas consumed (Kg)
1,A. J. Daoud,1112953,9594444191,Ponnur,HP,2,29.5,850,1-12-20,24
2,A. L. Collins,1117795,9594444192,Nidibrolu,HP,3,14.4,550,5-12-20,29
3,Aaron Russ,1111548,9594444193,Inturu,HP,4,14.4,550,10-12-20,15
4,Aaron Mary,1112629,9594444194,Tadiparru,HP,3,29.5,850,15-12-20,10
5,Olivia,2347586,9594444195,Tenali,HP,2,29.5,850,20-12-20,9
6,Emma,2215944,9594444196,Bapatla,HP,1,29.5,850,25-12-20,20
7,Ava,1707934,9594444197,Ongole,HP,2,29.5,850,30-12-20,5
8,Sophia,2311125,9594444198,Ponnur,HP,3,29.5,850,3-12-20,16
9,Isabella,4367456,9594444199,Nidibrolu,HP,3,29.5,850,6-12-20,2
10,Charlotte,4381365,9594444119,Munnipale,HP,2,29.5,850,9-12-20,12
11,Amelia,5487948,9594444129,Nidibrolu,HP,3,29.5,850,12-12-20,5
12,Mia,4596944,9594444139,Inturu,HP,2,29.5,850,15-12-20,19
13,Harper,4597043,9594444149,Tadiparru,HP,3,29.5,850,18-12-20,2
14,Evelyn,4597132,9594444159,Tenali,HP,3,29.5,850,21-12-20,8
15,Abigail,4597232,9594444169,Bapatla,HP,4,29.5,850,1-1-21,11
16,Emily,2345674,9594444179,Ongole,HP,3,29.5,850,5-2-21,12
17,Ella,4597432,9594444189,Bapatla,HP,3,29.5,850,10-2-21,5
18,Elizabeth,4597543,9594444199,Nidibrolu,HP,1,29.5,850,15-3-21,4
19,Camila,4608432,9594444109,Munnipale,HP,2,29.5,850,20-4-21,3
20,Luna,4343545,9594444119,Vijayawada,HP,3,14.4,550,25-1-21,3
21,Sofia,4453465,9594444219,Tadiparru,HP,4,29.5,850,30-1-21,24
22,Avery,1000296,9594444319,Tenali,HP,4,29.5,850,31-1-21,29
23,Mila,1000319,9594444419,Bapatla,HP,3,29.5,850,6-2-21,15
24,Aria,1000322,9594444519,Ongole,HP,2,29.5,850,9-2-21,10
25,Scarlett,1000323,9594444619,Ponnur,HP,1,29.5,850,12-2-21,9
26,Penelope,1000326,9594444719,Nidibrolu,Indane,2,29.5,850,15-3-21,20
27,Layla,1000328,9594444819,Munnipale,Indane,2,29.5,850,18-3-21,5
28,Chloe,1000330,9594444919,Nidibrolu,Indane,3,29.5,850,21-4-21,16
29,Victoria,1000332,9594440919,Inturu,Indane,4,29.5,850,1-12-20,2
30,Madison,1000335,6594441419,Tadiparru,Indane,3,29.5,850,5-12-20,12
31,Eleanor,1000336,6594444219,Tenali,Indane,2,29.5,850,10-12-20,5
32,Grace,1000338,6594443419,Bapatla,Indane,1,29.5,850,15-12-20,19
33,Nora,1000342,6659444419,Ongole,HP,2,29.5,850,20-12-20,2
34,Riley,1000361,6959444419,Bapatla,HP,3,29.5,850,25-12-20,8
35,Zoey,1000370,5959444419,Nidibrolu,HP,3,29.5,850,30-12-20,11
36,Hannah,1000374,9594444193,Munnipale,HP,2,29.5,850,3-12-20,12
37,Hazel,1000380,9594444193,Vijayawada,HP,3,14.4,550,6-12-20,5
