Unnamed: 0,S.No,Candidate Name,Account IG,Phone Number,Area,Gas_Used,Type,Purchased Date,Quantity,Cost,No of gas registered per user,pen
0,1,A. J. Daoud,1112953,9594444191,Ponnur,24,HP,1-12-20,29.5,850,2,
1,2,A. L. Collins,1117795,9594444192,Nidibrolu,29,HP,5-12-20,14.4,550,3,
2,3,Aaron Russ,1111548,9594444193,Inturu,15,HP,10-12-20,14.4,550,4,
3,4,Aaron Mary,1112629,9594444194,Tadiparru,10,HP,15-12-20,29.5,850,3,
4,5,Olivia,2347586,9594444195,Tenali,9,HP,20-12-20,29.5,850,2,
5,6,Emma,2215944,9594444196,Bapatla,20,HP,25-12-20,29.5,850,1,
6,7,Ava,1707934,9594444197,Ongole,5,HP,30-12-20,29.5,850,2,
7,8,Sophia,2311125,9594444198,Ponnur,16,HP,3-12-20,29.5,850,3,
8,9,Isabella,4367456,9594444199,Nidibrolu,2,HP,6-12-20,29.5,850,3,
9,10,Charlotte,4381365,9594444119,Munnipale,12,HP,9-12-20,29.5,850,2,
10,11,Amelia,5487948,9594444129,Nidibrolu,5,HP,12-12-20,29.5,850,3,
11,12, Mia,4596944,9594444139,Inturu,19,HP,15-12-20,29.5,850,2,
12,13, Harper,4597043,9594444149,Tadiparru,2,HP,18-12-20,29.5,850,3,
13,14, Evelyn,4597132,9594444159,Tenali,8,HP,21-12-20,29.5,850,3,
14,15, Abigail,4597232,9594444169,Bapatla,11,HP,1-1-21,29.5,850,4,
15,16,Emily,2345674,9594444179,Ongole,12,HP,5-2-21,29.5,850,3,
16,17,Ella,4597432,9594444189,Bapatla,5,HP,10-2-21,29.5,850,3,
17,18, Elizabeth,4597543,9594444199,Nidibrolu,4,HP,15-3-21,29.5,850,1,
18,19, Camila,4608432,9594444109,Munnipale,3,HP,20-4-21,29.5,850,2,
19,20, Luna,4343545,9594444119,Vijayawada,3,HP,25-1-21,14.4,550,3,
20,21, Sofia,4453465,9594444219,Tadiparru,24,HP,30-1-21,29.5,850,4,
21,22, Avery,1000296,9594444319,Tenali,29,HP,31-1-21,29.5,850,4,
